Program Name,DBA,Street,City,State,Zipcode,Phone,Certification
Crossroads' Turning Points Inc.,Crossroads' Turning Points Inc.,2265 Lava Lane,Alamosa,CO,81101,(719) 589-5176,Certified
ARTS Westside Center for Change,Opioid Treatment Program,6303 Wadsworh Bypass,Arvada,CO,80003,(303) 935-7004,Certified
The ARTS Potomac Street Center,,"1330 South Potomac St., Suite 104A",Aurora,CO,80012,(303) 283-5991,Certified
Denver Recovery Group/West,,5330 Manhattan Circle Unit H,Boulder,CO,80301,(720) 536-5571,Certified
"BayMark Health Services of Colorado, Inc.",Baart Programs,5 S 1st Avenue,Brighton,CO,80601,(720) 909-6008,Certified
"VCPHCS XIIa, LLC",BHG Centennial Treatment Center,7286 S.Yosemite Street Suite 125,Centennial,CO,80112,(303) 824-5866,Certified
"Colorado Treatment Services, LLC",Colorado Treatment Services LLC,"5360 N Academy Blvd,Suite 290",Colorado Springs,CO,80918,(719) 434-2061,Certified
"Crossroads Treatment Center of Denver, PC",,1801 West 13th Avenue,Denver,CO,80204,(303) 893-4291,Certified
"VCPHCS XII, LLC",BHG Denver Treatment Center,"5250 Leetsdale Drive, Ste. 220",Denver,CO,80204,(303) 629-5293,Certified
Denver Recovery Group,OTP,2822 E. Colfax,Denver,CO,80206,(303) 953-2299,Certified
Outpatient Behavioral Health Services,,"777 Bannock St., Unit 9",Denver,CO,80204,(303) 436-5699,Certified
A.R.T.S. Parkside Clinic,,1620 Gaylord St.,Denver,CO,80206,(303) 388-5894,Certified
Comprehensive Behavioral Health Center,,2217 Champa St.,Denver,CO,80205,720-398-9666,Certified
Colorado Addiction Treatment Services,,72 Suttle St Suite M,DURANGO,CO,81303,(970) 828-3030,Certified
"BHG X, LLC",BHG Fort Collins Treatment Center,2114 MidPoint Drive Suite 4,Fort Collins,CO,80525,(970) 372-3144,Certified
"Metro Treatment of Colorado, L.P.",Grand Junction Treatment Center,1001 Wellington Avenue,Grand Junction,CO,81502,(970) 208-1130,Certified
Colorado Treatment Services - Greeley,,1624 17th Ave,Greeley,CO,80631,970-978-4386,Certified
Denver Recovery Group - Lakewood,OTP,8790 West Colfax,Lakewood,CO,80205,(720) 940-3813,Provisional
"Crossroads' Turning Points, Inc.",,3501 South Main Street,Lamar,CO,81052,(719) 336-2600,Certified
Denver Recovery Group/South,,72 East Arapahoe Road,Littleton,CO,80122,(720) 283-3055,Certified
"VCPHCS X, LLC",BHG Longmont Treatment Center,850 23rd Avenue,Longmont,CO,80501,(303) 245-0123,Certified
Crossroads' Turning Points,,509 East 13th St.,Pueblo,CO,81001,(719) 546-6666,Certified
Colorado Treatment Services,Colorado Treatment Services - Pueblo,275 W. Abriendo Ave,Pueblo,CO,81004,(719) 621-1929,Certified
Health Solutions Medication Assisted Recovery Center,,"41 Montebello Road, Suite 120",Pueblo,CO,81001-1366,(719) 423-1500,Provisional
"VCPHCS XI, LLC",BHG Westminster Treatment Center,8402 Clay Street,Westminster,CO,80031,(303) 487-7776,Certified
