geog,tractid,d,pcalc,adj_rate,ll,ul,h_state,pcalc_state,adj_rate_state,ll_state,ul_state
Census tract,08001007801,7,20685,33.1398,12.9758,62.583,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001007802,3,23320,12.291,2.1802,30.636,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001007900,6,28420,17.8099,5.6739,36.702,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008000,3,31205,10.9702,2.4269,25.668,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008100,0,7625,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008200,.,30665,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008308,.,27725,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008309,.,20490,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008353,5,39535,11.5269,3.373,24.538,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008401,4,23550,19.1733,5.5669,40.933,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008402,5,24470,18.2851,5.2675,39.149,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008505,3,36355,5.5518,0.5342,15.852,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008506,9,34570,25.4045,11.3816,44.981,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008507,7,33520,22.1,9.0511,40.877,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008508,5,29480,17.1665,5.4681,35.378,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008523,5,41725,13.0129,4.3692,26.259,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008524,4,41890,8.2542,1.8466,19.246,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008526,3,34890,9.6761,2.1071,22.749,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008529,7,36175,24.0859,10.7485,42.73,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008533,.,40930,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008534,.,25290,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008535,.,18385,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008536,0,16090,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008537,6,34210,18.7729,7.0616,36.097,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008538,.,37930,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008539,4,53350,6.6421,1.5266,15.357,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008540,.,40195,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008541,.,28975,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008542,5,45345,10.0301,2.9301,21.365,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008543,4,45855,8.8135,2.3152,19.5,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008544,.,27770,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008545,3,36090,7.5413,1.2429,19.161,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008546,.,18310,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008547,3,19210,16.383,3.2824,39.479,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008548,0,8150,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008549,.,21290,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008550,4,41800,10.5485,3.0002,22.691,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008551,0,7745,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008603,3,9995,29.7664,5.5521,73.186,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008604,.,26520,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008605,5,20970,23.3637,7.256,48.627,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008606,.,32270,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008705,3,27735,8.8477,1.2403,23.379,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008706,3,29175,14.0941,3.7634,31.007,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008709,4,39970,11.1453,3.1984,23.897,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008801,3,26370,12.1841,2.5034,29.147,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008802,.,25850,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001008901,.,13320,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009001,5,22675,29.3109,11.2636,55.824,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009002,.,51085,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009101,.,23830,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009103,5,21340,22.134,6.6739,46.591,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009104,.,29830,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009202,5,21220,21.89,6.5096,46.318,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009203,4,22440,14.4911,3.0207,34.519,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009204,6,37590,18.3751,7.227,34.631,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009206,4,11285,42.6389,13.0536,89.23,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009207,6,24035,22.6617,7.6265,45.685,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009304,.,29230,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009306,3,17805,20.0685,4.6545,46.266,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009307,4,19720,19.4841,4.8724,43.832,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009308,.,23030,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009309,3,19945,14.4544,2.5844,35.952,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009310,6,28260,18.791,6.2075,38.169,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009316,3,36455,8.7631,1.788,21.006,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009318,4,32810,15.3642,4.8793,31.702,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009319,5,13615,43.0515,15.2553,84.943,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009320,3,14170,24.9004,5.6969,57.652,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009321,3,19230,13.9049,2.2327,35.563,2546,27655705,8.89833,8.54735,9.2493
Census tract,08001009322,3,23210,9.7652,1.1898,26.614,2546,27655705,8.89833,8.54735,9.2493
